序号,文件名,本地路径,发布人,发布时间,发布内容,评论数,评论内容
1,pack01_001.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_001.jpg,6岔路口矢泽兔熊,2026年02月21日 11:55,2025.11.05 HND-PEK NH961 2-4-3布局的B777-300ER,0,
2,pack01_002.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_002.jpg,6岔路口矢泽兔熊,2026年02月21日 11:55,2025.11.05 HND-PEK NH961 2-4-3布局的B777-300ER,0,
3,pack01_003.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_003.jpg,6岔路口矢泽兔熊,2026年02月21日 11:55,2025.11.05 HND-PEK NH961 2-4-3布局的B777-300ER,0,
4,pack01_004.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_004.jpg,6岔路口矢泽兔熊,2026年02月21日 11:55,2025.11.05 HND-PEK NH961 2-4-3布局的B777-300ER,0,
5,pack01_005.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_005.jpg,6岔路口矢泽兔熊,2026年02月21日 11:55,2025.11.05 HND-PEK NH961 2-4-3布局的B777-300ER,0,
6,pack01_006.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_006.jpg,6岔路口矢泽兔熊,2026年02月21日 11:55,2025.11.05 HND-PEK NH961 2-4-3布局的B777-300ER,0,
7,pack01_007.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_007.jpg,6岔路口矢泽兔熊,2026年02月21日 11:55,2025.11.05 HND-PEK NH961 2-4-3布局的B777-300ER,0,
8,pack01_008.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_008.jpg,6岔路口矢泽兔熊,2026年02月21日 11:55,2025.11.05 HND-PEK NH961 2-4-3布局的B777-300ER,0,
9,pack01_009.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_009.jpg,6岔路口矢泽兔熊,2026年02月21日 11:55,2025.11.05 HND-PEK NH961 2-4-3布局的B777-300ER,0,
10,pack01_010.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_010.jpg,6岔路口矢泽兔熊,2026年02月21日 11:55,2025.11.05 HND-PEK NH961 2-4-3布局的B777-300ER,0,
11,pack01_011.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_011.jpg,6岔路口矢泽兔熊,2026年02月21日 11:55,2025.11.05 HND-PEK NH961 2-4-3布局的B777-300ER,0,
12,pack01_012.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_012.jpg,自囿民,2026年02月21日 11:36,2025-04-25 JL22 PEK-HND Boeing-737 额额最后一天确定改737，我的777和787没了,0,
13,pack01_013.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_013.jpg,自囿民,2026年02月21日 11:36,2025-04-25 JL22 PEK-HND Boeing-737 额额最后一天确定改737，我的777和787没了,0,
14,pack01_014.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_014.jpg,自囿民,2026年02月21日 11:36,2025-04-25 JL22 PEK-HND Boeing-737 额额最后一天确定改737，我的777和787没了,0,
15,pack01_015.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_015.jpg,自囿民,2026年02月21日 11:20,2025-12-05 NH962 PEK-HND Boeing-777 远征前有棉花娃娃合影，PTV坏了重启了一次，遥控器被我用线卡住了,0,
16,pack01_016.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_016.jpg,自囿民,2026年02月21日 11:20,2025-12-05 NH962 PEK-HND Boeing-777 远征前有棉花娃娃合影，PTV坏了重启了一次，遥控器被我用线卡住了,0,
17,pack01_017.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_017.jpg,自囿民,2026年02月21日 11:20,2025-12-05 NH962 PEK-HND Boeing-777 远征前有棉花娃娃合影，PTV坏了重启了一次，遥控器被我用线卡住了,0,
18,pack01_018.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_018.jpg,自囿民,2026年02月21日 11:20,2025-12-05 NH962 PEK-HND Boeing-777 远征前有棉花娃娃合影，PTV坏了重启了一次，遥控器被我用线卡住了,0,
19,pack01_019.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_019.jpg,自囿民,2026年02月21日 11:20,2025-12-05 NH962 PEK-HND Boeing-777 远征前有棉花娃娃合影，PTV坏了重启了一次，遥控器被我用线卡住了,0,
20,pack01_020.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_020.jpg,自囿民,2026年02月21日 11:20,2025-12-05 NH962 PEK-HND Boeing-777 远征前有棉花娃娃合影，PTV坏了重启了一次，遥控器被我用线卡住了,0,
21,pack01_021.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_021.jpg,ppl,2026年02月21日 11:17,2026-2-9 CTU-PVG CA8592 A350-9 4年新机子 紧急出口位,0,
22,pack01_022.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_022.jpg,ppl,2026年02月21日 11:17,2026-2-9 CTU-PVG CA8592 A350-9 4年新机子 紧急出口位,0,
23,pack01_023.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_023.jpg,ppl,2026年02月21日 11:17,2026-2-9 CTU-PVG CA8592 A350-9 4年新机子 紧急出口位,0,
24,pack01_024.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_024.jpg,6岔路口矢泽兔熊,2026年02月21日 11:11,2024.06.28 KL896 PVG-AMS B777-200ER PHBQO 经济舱第一排,0,
25,pack01_025.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_025.jpg,6岔路口矢泽兔熊,2026年02月21日 11:11,2024.06.28 KL896 PVG-AMS B777-200ER PHBQO 经济舱第一排,0,
26,pack01_026.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_026.jpg,6岔路口矢泽兔熊,2026年02月21日 11:11,2024.06.28 KL896 PVG-AMS B777-200ER PHBQO 经济舱第一排,0,
27,pack01_027.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_027.jpg,6岔路口矢泽兔熊,2026年02月21日 11:11,2024.06.28 KL896 PVG-AMS B777-200ER PHBQO 经济舱第一排,0,
28,pack01_028.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_028.jpg,6岔路口矢泽兔熊,2026年02月21日 11:11,2024.06.28 KL896 PVG-AMS B777-200ER PHBQO 经济舱第一排,0,
29,pack01_029.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_029.jpg,6岔路口矢泽兔熊,2026年02月21日 11:11,2024.06.28 KL896 PVG-AMS B777-200ER PHBQO 经济舱第一排,0,
30,pack01_030.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_030.jpg,6岔路口矢泽兔熊,2026年02月21日 11:11,2024.06.28 KL896 PVG-AMS B777-200ER PHBQO 经济舱第一排,0,
31,pack01_031.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_031.jpg,6岔路口矢泽兔熊,2026年02月21日 11:11,2024.06.28 KL896 PVG-AMS B777-200ER PHBQO 经济舱第一排,0,
32,pack01_032.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/全服务航司经济舱/images/pack01_032.jpg,6岔路口矢泽兔熊,2026年02月21日 11:11,2024.06.28 KL896 PVG-AMS B777-200ER PHBQO 经济舱第一排,0,
