序号,文件名,本地路径,发布人,发布时间,发布内容,评论数,评论内容
1,009453A1-AE86-4C52-8050-3DEB5B1BAB03_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/商务舱/images/009453A1-AE86-4C52-8050-3DEB5B1BAB03_hd.jpg,夢疾風,2026年02月21日 11:32,2026.2.9 EK384 BKK-HKG 座位舒适度尚可，餐食一般，乘务组拉完了： 1.点餐时前菜仅有一款，但是你不和他特意说要就默认不给你上 2.极少巡舱，我的呼唤灯亮了十分钟没人管，直接去前面找乘务了 3.商务舱落地前送的巧克力居然左边过道座位有右边过道座位没有，不知道是发漏了还是不够了，给人气笑了 优点也是有的： 空中酒吧不错，适合聊天，特调多 曼谷休息室不错 两小时航班默认先在座位上给两瓶依云+一瓶巴黎水+MM豆+小吃，还有拖鞋眼罩，绝对不是吐槽某个深绿色廉航（,0,
2,03AEA0B1-A3C4-455F-9466-7F654D18F569_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/商务舱/images/03AEA0B1-A3C4-455F-9466-7F654D18F569_hd.jpg,夢疾風,2026年02月21日 11:32,2026.2.9 EK384 BKK-HKG 座位舒适度尚可，餐食一般，乘务组拉完了： 1.点餐时前菜仅有一款，但是你不和他特意说要就默认不给你上 2.极少巡舱，我的呼唤灯亮了十分钟没人管，直接去前面找乘务了 3.商务舱落地前送的巧克力居然左边过道座位有右边过道座位没有，不知道是发漏了还是不够了，给人气笑了 优点也是有的： 空中酒吧不错，适合聊天，特调多 曼谷休息室不错 两小时航班默认先在座位上给两瓶依云+一瓶巴黎水+MM豆+小吃，还有拖鞋眼罩，绝对不是吐槽某个深绿色廉航（,0,
3,09F8A3CB-FA18-4773-A0D6-62A1FB24E986_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/商务舱/images/09F8A3CB-FA18-4773-A0D6-62A1FB24E986_big.jpg,夢疾風,2026年02月21日 11:32,2026.2.9 EK384 BKK-HKG 座位舒适度尚可，餐食一般，乘务组拉完了： 1.点餐时前菜仅有一款，但是你不和他特意说要就默认不给你上 2.极少巡舱，我的呼唤灯亮了十分钟没人管，直接去前面找乘务了 3.商务舱落地前送的巧克力居然左边过道座位有右边过道座位没有，不知道是发漏了还是不够了，给人气笑了 优点也是有的： 空中酒吧不错，适合聊天，特调多 曼谷休息室不错 两小时航班默认先在座位上给两瓶依云+一瓶巴黎水+MM豆+小吃，还有拖鞋眼罩，绝对不是吐槽某个深绿色廉航（,0,
4,0B411D79-83CB-4F87-BAF5-4CC441F3BA98_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/商务舱/images/0B411D79-83CB-4F87-BAF5-4CC441F3BA98_hd.jpg,夢疾風,2026年02月21日 11:32,2026.2.9 EK384 BKK-HKG 座位舒适度尚可，餐食一般，乘务组拉完了： 1.点餐时前菜仅有一款，但是你不和他特意说要就默认不给你上 2.极少巡舱，我的呼唤灯亮了十分钟没人管，直接去前面找乘务了 3.商务舱落地前送的巧克力居然左边过道座位有右边过道座位没有，不知道是发漏了还是不够了，给人气笑了 优点也是有的： 空中酒吧不错，适合聊天，特调多 曼谷休息室不错 两小时航班默认先在座位上给两瓶依云+一瓶巴黎水+MM豆+小吃，还有拖鞋眼罩，绝对不是吐槽某个深绿色廉航（,0,
5,0BFED7C7-E24A-4B08-99FC-94E5FBBD56C8_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/商务舱/images/0BFED7C7-E24A-4B08-99FC-94E5FBBD56C8_hd.jpg,夢疾風,2026年02月21日 11:32,2026.2.9 EK384 BKK-HKG 座位舒适度尚可，餐食一般，乘务组拉完了： 1.点餐时前菜仅有一款，但是你不和他特意说要就默认不给你上 2.极少巡舱，我的呼唤灯亮了十分钟没人管，直接去前面找乘务了 3.商务舱落地前送的巧克力居然左边过道座位有右边过道座位没有，不知道是发漏了还是不够了，给人气笑了 优点也是有的： 空中酒吧不错，适合聊天，特调多 曼谷休息室不错 两小时航班默认先在座位上给两瓶依云+一瓶巴黎水+MM豆+小吃，还有拖鞋眼罩，绝对不是吐槽某个深绿色廉航（,0,
6,0E7B0FF3-1249-4CC8-8ECD-FC1B6BD7472F_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/商务舱/images/0E7B0FF3-1249-4CC8-8ECD-FC1B6BD7472F_hd.jpg,夢疾風,2026年02月21日 11:32,2026.2.9 EK384 BKK-HKG 座位舒适度尚可，餐食一般，乘务组拉完了： 1.点餐时前菜仅有一款，但是你不和他特意说要就默认不给你上 2.极少巡舱，我的呼唤灯亮了十分钟没人管，直接去前面找乘务了 3.商务舱落地前送的巧克力居然左边过道座位有右边过道座位没有，不知道是发漏了还是不够了，给人气笑了 优点也是有的： 空中酒吧不错，适合聊天，特调多 曼谷休息室不错 两小时航班默认先在座位上给两瓶依云+一瓶巴黎水+MM豆+小吃，还有拖鞋眼罩，绝对不是吐槽某个深绿色廉航（,0,
7,14F36A4B-4C1F-4C42-ACC7-9AC25D80A849_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/商务舱/images/14F36A4B-4C1F-4C42-ACC7-9AC25D80A849_hd.jpg,夢疾風,2026年02月21日 11:32,2026.2.9 EK384 BKK-HKG 座位舒适度尚可，餐食一般，乘务组拉完了： 1.点餐时前菜仅有一款，但是你不和他特意说要就默认不给你上 2.极少巡舱，我的呼唤灯亮了十分钟没人管，直接去前面找乘务了 3.商务舱落地前送的巧克力居然左边过道座位有右边过道座位没有，不知道是发漏了还是不够了，给人气笑了 优点也是有的： 空中酒吧不错，适合聊天，特调多 曼谷休息室不错 两小时航班默认先在座位上给两瓶依云+一瓶巴黎水+MM豆+小吃，还有拖鞋眼罩，绝对不是吐槽某个深绿色廉航（,0,
8,17D06BC0-2270-4C0F-8604-BCDDF904BD37_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/商务舱/images/17D06BC0-2270-4C0F-8604-BCDDF904BD37_hd.jpg,夢疾風,2026年02月21日 11:32,2026.2.9 EK384 BKK-HKG 座位舒适度尚可，餐食一般，乘务组拉完了： 1.点餐时前菜仅有一款，但是你不和他特意说要就默认不给你上 2.极少巡舱，我的呼唤灯亮了十分钟没人管，直接去前面找乘务了 3.商务舱落地前送的巧克力居然左边过道座位有右边过道座位没有，不知道是发漏了还是不够了，给人气笑了 优点也是有的： 空中酒吧不错，适合聊天，特调多 曼谷休息室不错 两小时航班默认先在座位上给两瓶依云+一瓶巴黎水+MM豆+小吃，还有拖鞋眼罩，绝对不是吐槽某个深绿色廉航（,0,
9,17FDA3B2-0463-4616-B6C7-85E9C2C7F29E_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/商务舱/images/17FDA3B2-0463-4616-B6C7-85E9C2C7F29E_big.jpg,夢疾風,2026年02月21日 11:32,2026.2.9 EK384 BKK-HKG 座位舒适度尚可，餐食一般，乘务组拉完了： 1.点餐时前菜仅有一款，但是你不和他特意说要就默认不给你上 2.极少巡舱，我的呼唤灯亮了十分钟没人管，直接去前面找乘务了 3.商务舱落地前送的巧克力居然左边过道座位有右边过道座位没有，不知道是发漏了还是不够了，给人气笑了 优点也是有的： 空中酒吧不错，适合聊天，特调多 曼谷休息室不错 两小时航班默认先在座位上给两瓶依云+一瓶巴黎水+MM豆+小吃，还有拖鞋眼罩，绝对不是吐槽某个深绿色廉航（,0,
10,1E9C715C-8F16-43BF-B8E0-2B8E127FC882_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/商务舱/images/1E9C715C-8F16-43BF-B8E0-2B8E127FC882_hd.jpg,夢疾風,2026年02月21日 11:32,2026.2.9 EK384 BKK-HKG 座位舒适度尚可，餐食一般，乘务组拉完了： 1.点餐时前菜仅有一款，但是你不和他特意说要就默认不给你上 2.极少巡舱，我的呼唤灯亮了十分钟没人管，直接去前面找乘务了 3.商务舱落地前送的巧克力居然左边过道座位有右边过道座位没有，不知道是发漏了还是不够了，给人气笑了 优点也是有的： 空中酒吧不错，适合聊天，特调多 曼谷休息室不错 两小时航班默认先在座位上给两瓶依云+一瓶巴黎水+MM豆+小吃，还有拖鞋眼罩，绝对不是吐槽某个深绿色廉航（,0,
