序号,文件名,本地路径,发布人,发布时间,发布内容,评论数,评论内容
1,59BD4D9E-F2CE-4E64-B7DD-C20A7D48FA73_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/驾驶舱与flight log/images/59BD4D9E-F2CE-4E64-B7DD-C20A7D48FA73_big.jpg,可劲,2026年02月26日 10:46,2026.2.26 CX917,0,
2,890A3E6F-A5C9-4F5F-877A-ED1CDA824443_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/驾驶舱与flight log/images/890A3E6F-A5C9-4F5F-877A-ED1CDA824443_big.jpg,可劲,2026年02月26日 10:46,2026.2.26 CX917,0,
3,CF1566F9-5F16-42CC-9F8A-D8D80D9C80E3_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/驾驶舱与flight log/images/CF1566F9-5F16-42CC-9F8A-D8D80D9C80E3_big.jpg,Achthundert zehn,2026年02月23日 11:10,2025.10.1CA1357，PEK-SZX,0,
4,97A09BD0-97B1-42B7-A194-2EB8E1F479DF_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/驾驶舱与flight log/images/97A09BD0-97B1-42B7-A194-2EB8E1F479DF_big.jpg,Achthundert zehn,2026年02月23日 11:09,国泰航空a321neo,0,
5,V5bCQAzNzcxNDQ5OTYmnbBpp01wEw!!.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/驾驶舱与flight log/images/V5bCQAzNzcxNDQ5OTYmnbBpp01wEw!!.jpg,6岔路口[em]e327853[/em]矢泽兔熊,2026年03月11日 06:37,2026.03.10 瑞士航空 LX189 A340-300 PVG-ZRH航后,0,
6,V5bCQAzNzcxNDQ5OTYlnbBpV9UPEw!!.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/驾驶舱与flight log/images/V5bCQAzNzcxNDQ5OTYlnbBpV9UPEw!!.jpg,6岔路口[em]e327853[/em]矢泽兔熊,2026年03月11日 06:37,2026.03.10 瑞士航空 LX189 A340-300 PVG-ZRH航后,0,
7,V5bCQAzNzcxNDQ5OTYknbBpJVO_Eg!!.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/驾驶舱与flight log/images/V5bCQAzNzcxNDQ5OTYknbBpJVO_Eg!!.jpg,6岔路口[em]e327853[/em]矢泽兔熊,2026年03月11日 06:37,2026.03.10 瑞士航空 LX189 A340-300 PVG-ZRH航后,0,
8,0EB293C5-787E-4357-8B10-5665FDAF8BC3_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/驾驶舱与flight log/images/0EB293C5-787E-4357-8B10-5665FDAF8BC3_big.jpg,白璐璐璐璐璐#uwu,2026年03月11日 06:27,,0,
9,V5bCQAzNzcxNDQ5OTYGq6lpNO7bAg!!.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/驾驶舱与flight log/images/V5bCQAzNzcxNDQ5OTYGq6lpNO7bAg!!.jpg,飞翔的企鹅,2026年03月06日 00:10,2026.2.25，UA132,0,
10,V5bCQAzNzcxNDQ5OTYFq6lp7nXdAg!!.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/驾驶舱与flight log/images/V5bCQAzNzcxNDQ5OTYFq6lp7nXdAg!!.jpg,飞翔的企鹅,2026年03月06日 00:10,2026.2.25，UA132,0,
11,47EFA13B-1E38-4251-A166-647ACB58AC11_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/驾驶舱与flight log/images/47EFA13B-1E38-4251-A166-647ACB58AC11_big.jpg,由木,2026年03月06日 00:01,25.10.3 LX189 A340-300,0,
12,283947BB-A220-4690-A279-526B4454D1BB_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/驾驶舱与flight log/images/283947BB-A220-4690-A279-526B4454D1BB_big.jpg,由木,2026年03月06日 00:01,25.10.3 LX189 A340-300,0,
13,F07B7678-BE54-4E3B-A214-C3CC225B452A_big.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/驾驶舱与flight log/images/F07B7678-BE54-4E3B-A214-C3CC225B452A_big.jpg,Achthundert zehn,2026年03月05日 23:55,3.5，nh963,0,
14,V5bCQAzNzcxNDQ5OTajpKlp3dF_GA!!.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/驾驶舱与flight log/images/V5bCQAzNzcxNDQ5OTajpKlp3dF_GA!!.jpg,ReALize,2026年03月05日 23:43,2026.2.24 JL894,0,
15,V5bCQAzNzcxNDQ5OTZupKlpS7lhFQ!!.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/驾驶舱与flight log/images/V5bCQAzNzcxNDQ5OTZupKlpS7lhFQ!!.jpg,ReALize,2026年03月05日 23:42,2026.3.2 JL221,0,
16,D09E72DA-DD42-41D2-AD0B-11795533C851_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/驾驶舱与flight log/images/D09E72DA-DD42-41D2-AD0B-11795533C851_hd.jpg,Yukisuto,2026年03月30日 22:55,鶴丸懂得来,0,
17,FE479343-4EFD-4C18-AD95-62E406524947_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/驾驶舱与flight log/images/FE479343-4EFD-4C18-AD95-62E406524947_hd.jpg,Yukisuto,2026年03月30日 22:49,SYD拍QF8,0,
18,6226C8B2-D5CC-4F3D-B0B2-7343FF7B2539_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/驾驶舱与flight log/images/6226C8B2-D5CC-4F3D-B0B2-7343FF7B2539_hd.jpg,Yukisuto,2026年03月30日 22:49,SYD拍QF8,0,
19,F3F02F95-E72B-4866-8BD1-3F133DE07D63_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/驾驶舱与flight log/images/F3F02F95-E72B-4866-8BD1-3F133DE07D63_hd.jpg,Yukisuto,2026年03月30日 22:49,SYD拍QF8,0,
20,D455C94A-819E-490A-B3CD-38C662B1B59E_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/驾驶舱与flight log/images/D455C94A-819E-490A-B3CD-38C662B1B59E_hd.jpg,Yukisuto,2026年03月30日 22:49,SYD拍QF8,0,
21,24809C5C-81C2-45A0-BAA0-7A75BD836CE0_hd.jpg,/Users/lazywords/Code/高卡紫相关/QQ群相册/驾驶舱与flight log/images/24809C5C-81C2-45A0-BAA0-7A75BD836CE0_hd.jpg,Yukisuto,2026年03月30日 22:49,SYD拍QF8,0,
